0 0 Uno-de-los-siguientes-personajes-fue-el-encargado-de-pintar-la-capilla-Sixtina:/1)-Miguel-Angel./2)-Donatello./n3)-Leonardo-Da-Vinci./n4)-Francis-Bacon 0
0 1 Genio-del-renacimiento-que-esculpio-el-Moises,-el-David-y-la-Pieta:/1)-Miguel-Angel-Buonarroti./2)-Leonardo-Da-Vinci./3)-Rafael-Sanzio./4)-Galileo-Galilei 0
0 2 Durante-el-renacimiento-el-estilo-artistico-que-impregno-el-arte,-la-filosofia,-la-pintura-escritura-fue-el:/1)-El-Gotico./2)-El-barroco./3)-El-clasicismo./4)-Romanticismo 1
0 3 Durante-el-renacimiento-surge-una-nueva-vision-del-hombre,-que-se-vio-reflejada-en-el-arte,-en-la-politica-y-en-las-ciencias-sociales-y-humanas,-a-lo-que-se-denomina:/1)-Antropocentrismo./2)-Humanismo./3)-Paradigma-antropologico./4)-Teocentrismo. 1
0 4 Cuatro-genios-del-renacimiento(Leonardo,-Donatello,-Rafael-y-Michelangelo)-han-sido-llevados-a-la-pantallas-en-los-comics-de:/1)-Las-tortugas-ninjas./2)-Los-caballeros-del-Zodiaco./3)-Los-cuatro-fantasticos./4)-Los-antagonistas-de-Attack-Titan 0
1 0 Durante-el-renacimiento,-el-modelo-de-gobierno-es-uno-de-los-siguientes:/1)-Monarquia-absoluta./2)-Tirania-republicana./3)-Democracia-participativa./4)-Liberalismo-politico. 0
1 1 De-los-siguientes-acontecimientos,-selecciones-el-que-inicia-el-periodo-moderno:/1)-Toma-de-Constantinopla./2)-Tratado-de-paz-de-westfalia./3)-Toma-de-la-Bastilla./4)-La-ruta-de-la-seda. 1
1 2 Durante-el-siglo-XV,-la-sociedad-se-estratifica-en-tres-estamentos-definidos:/1)-Clase-media,-baja-y-alta./2)-nobleza,-clero-y-estado-llano./3)-Artesanos,-guardianes-y-gobernantes. 1
1 3 Aparece-el-realismo-politico,-que-se-basaba-en-un-orden-establecido,-explicacion-de-un-sistema-y-recomendaciones-de-como-gobernar:/1)-Tomas-Moro./2)-Jean-Bodin./3)-Nicolas-Maquiavelo./4)-Erasmo-de-Rotterdam. 2
1 4 Terminada-la-edad-media,-en-el-contexto-de-la-politica-resulta-que:/1)-La-Iglesia-resalta-su-poder./2)-La-Iglesia-pierde-el-papel-rector-en-la-politica./3)-La-Iglesia-evangelica-se-posiciona-en-la-politica. 1
2 0 Entre-los-siguientes-renacentistas-seleccione,-uno-de-los-precursores-filosofo-cientifico-del-heliocentrismo-(teoria-que-afirma-que-el-sol-es-el-centro-del-universo):/1)-Tomas-Moro./2)-Galileo./3)-Platon. 1
2 1 El-metodo-cientifico-se-introduce-por-el-interes-de-tres-filosofos.-Entre-los-siguientes-uno-de-los-mencionados-no-es-precursor-del-metodo-cientifico:/1)-Francis-Bacon./2)-Galileo-Galilei./3)Nicolas-Maquiavelo./4)-Rene-Descartes. 2
2 2 Es-uno-de-los-precursores-del-pensamiento-Moderno:/1)-Isaac-Newton./2)-Rene-Descartes./3)-Erasmo-de-Roterdam. 1
2 3 De-los-siguientes-filosofos-niega-el-geocentrismo-(teoria-que-afirma-que-el-centro-de-nuestro-sistema-solar-es-la-tierra):/1)-Aristoteles./2)-Nicolas-Copernico./3)-Tomas-de-Aquino 1
2 4 Uno-de-los-inventos-que-suscito-un-conocimiento-ilimitado,-fue-el-de-Gutenberg:/1)-El-astrolabio./2)-La-imprenta./3)-La-Nao-y-la-Carabela./4)-El-Telescopio 1
3 0 Despues-del-feudalismo-medieval-acudimos-al-surgimiento-de-una-nueva-clase-social-conocida-como-la:/1)La-monarquia./2)-El-mercantilismo./3)-La-burguesia./4)-El-proletariado 2
3 1 El-renacimiento-supone-una-epoca-de-absolutismo-y-nacionalismos,-como-el-nacimiento-de-fuertes-monarquias-europeas-centralizadas-como:/1)-Grecia./2)-Inglaterra./3)Yugoslavia./4)-Egipto 1
3 2 Antes-de-la-consolidacion-del-estado-moderno,-Italia-estuvo-divida-en-pequenas-ciudades-estado-normalmente-enfrentadas-entre-si,-como-es-el-caso-de:/1)-Florencia-Napoli.-2)-Amsterdam-Cracovia./3)-Reims-Colonia./4)-Milan-Lourdes. 0
3 3 La-toma-de-Constantinopla-supone-un-bloqueo-comercial-entre-Europa-y-Asia-(la-ruta-de-la-seda)-y-ocurrio-en-lo-que-hoy-es-actualmente:/1)-Eslovaquia./2)-Estambul-en-Turquia./3)-Mesopotamia 1
3 4 Resurge-el-interes-por-Grecia-y-Roma,-junto-al-declive-del-sistema-feudal,-el-crecimiento-del-comercio-e-innovaciones-entre-las-que-mencionamos:/1)-La-imprenta-y-la-brujula./2)-La-rueda-y-la-escritura/3)-Las-maquinas-de-vapor-y-la-produccion-en-masa 0
