0 Para-algunos-de-los-siguientes-filosofos,-el-criterio-de-verdad-es-la-evidencia-sensible:/A)-Empiristas/B)-Criticistas/C)-Racionalistas/D)Dogmaticos 0
1 De-las-siguientes,-una-de-ellas-es-la-corriente-filosofica-que-en-general-tiende-a-negar-la-posibilidad-de-la-metafisica-y-a-sostener-que-hay-conocimiento-unicamente-de-los-fenomenos./A)-Racionalistas./B)-Empiristas./C)-Escolasticos/D)-Escepticos 1
2 Para-unos-de-los-siguientes-filosofos,-la-experencia-como-unica-fuente-del-conocimiento./A)-Epistemologos/B)-Racionalistas/C)-Empiristas/D)-Escepticos 2
3 Filosofos-para-quienes-la-unica-fuente-del-conocimiento-es-la-razon./A)-Epistemologos/B)-Racionalistas/C)-Empiristas/D)-Escepticos 1
4 Filosofos-que-postulan-las-ideas-inatas-en-el-sujeto./A)-Empiristas/B)-Idealistas/C)-Racionalistas/D)-Innatistas 2
5 De-los-siguientes-filosofos-selecciones-el-que-no-se-considera-Racionalistas:/A)-David-Hume./B)-John-Locke/C)-Nicolas-Malebranch/D)Francis-Bacon 2
6 Es-la-doctrina-que-establece-que-todos-nuestros-conocimientos-provienen-de-la-razon/A)-Empirismo/B)-Criticismo/C)-Racionalismo/D)-Epistemologia 2
7 Uno-de-los-siguientes-filosofos,-postula-las-ideas-innatas-en-el-sujetos:/A)-George-Berkeley/B)-David-Hume/C)-Leibniz/D)-Hipatia 2
8 Para-Kant,-cuales-son-los-tres-postulados-de-la-razon-practica:/A).-Dios,-alma-y-mundo/B).-Vida,-alma-y-salud/C).-Vida-alma-y-mundo/D).-Dios,-salud-y-mundo 0
9 Kant-distingue-tres-facultades-de-conocimiento:/A)-Sensibilidad,-Entendimiento-y-Razon\nB)-Sensibilidad,-Transcendencia-y-Poder/C)-Transcendecia,-Entendimiento-y-Razon 0
10 Es-un-empirista:/A)Francis-Bacon/B)-Descartes/C)-Spiroza/D)-Leibniz 0
11 Es-un-racionalista:/A)-Francis-Bacon/B)-D.-Hume/C)-Descartes/D)-John-Locke 2
12 Quien-fue-el-maestro-fundamental-del-racionalismo?/A)-Descartes/B)-Kant/C)-Bacon/D)-Spiroza 0
